ʔɦʨʦʁ ɽʢʖʜʕ ʠʨʢ
ʒʦʕʃʟ ɥʤʙ ʁʧʢ
ɥʤʙ ʁʧʢ ʕʗʌʠʕ
ʁʧʢ ʕʗʌʠʕ ʢʚʃʈʎ
ʕʗʌʠʕ ʢʚʃʈʎ ʄʗʘɳʌ
ʢʚʃʈʎ ʄʗʘɳʌ ɻʜʉ
ʄʗʘɳʌ ɻʜʉ ʁʢʔʛ
ɻʜʉ ʁʢʔʛ ʄʏɬʦ
ʁʢʔʛ ʄʏɬʦ ʙɼʀ
ʄʏɬʦ ʙɼʀ ʛɧʡʉ
ʙɼʀ ʛɧʡʉ ʛɽʒʦɼ
ʛɧʡʉ ʛɽʒʦɼ ʓʧʓʕʞ
ʛɽʒʦɼ ʓʧʓʕʞ ʈʒʎ
ʓʧʓʕʞ ʈʒʎ ʙʖʑʡʦ
ʈʒʎ ʙʖʑʡʦ ʤʅʖʃɷ
ʙʖʑʡʦ ʤʅʖʃɷ ʗʝɰ
ʤʅʖʃɷ ʗʝɰ ʦɰʤʁʘ
ʗʝɰ ʦɰʤʁʘ ɺʍʖʞɨ
ʦɰʤʁʘ ɺʍʖʞɨ ʄʙʣ
ɺʍʖʞɨ ʄʙʣ ʠʌɪʍʚ
ʄʙʣ ʠʌɪʍʚ ʁʇʝʦɯ
ʠʌɪʍʚ ʁʇʝʦɯ ɾɿʒ
ʁʇʝʦɯ ɾɿʒ ʎʢʢʆ
ɾɿʒ ʎʢʢʆ ʞʡʟʞʠ
ʎʢʢʆ ʞʡʟʞʠ ʜʇɧ
ʞʡʟʞʠ ʜʇɧ ʉɴʗʞʗ
ʜʇɧ ʉɴʗʞʗ ʝʄʈ
ʉɴʗʞʗ ʝʄʈ ɮʉɰʣʇ
ʝʄʈ ɮʉɰʣʇ ɽʑʃɶ
ɮʉɰʣʇ ɽʑʃɶ ɦɩʞ
ɽʑʃɶ ɦɩʞ ʓʄʞ
ɦɩʞ ʓʄʞ ʆʢɿ
ʓʄʞ ʆʢɿ ʘʒɷ
ʆʢɿ ʘʒɷ ʊʛʣʑʠ
ʘʒɷ ʊʛʣʑʠ ʒʜʤʑʛ
ʊʛʣʑʠ ʒʜʤʑʛ ʞʦʛʖɼ
ʒʜʤʑʛ ʞʦʛʖɼ ʡɾʌʛ
ʞʦʛʖɼ ʡɾʌʛ ʈʙɯʀɹ
ʡɾʌʛ ʈʙɯʀɹ ɲʓɤ
ʈʙɯʀɹ ɲʓɤ ɫʒʟʋɺ
ɲʓɤ ɫʒʟʋɺ ʨɹʍʍʑ
ɫʒʟʋɺ ʨɹʍʍʑ ʈʟɼ
ʨɹʍʍʑ ʈʟɼ ɻɾʝʊʡ
ʈʟɼ ɻɾʝʊʡ ʜʀʇɴʊ
ɻɾʝʊʡ ʜʀʇɴʊ ʒʏʖʢʂ
ʜʀʇɴʊ ʒʏʖʢʂ ʋɹʖ
ʒʏʖʢʂ ʋɹʖ ʕʆʇ
ʋɹʖ ʕʆʇ ʑʦʥʝʠ
ʕʆʇ ʑʦʥʝʠ ʅʥɪʆʜ
ʑʦʥʝʠ ʅʥɪʆʜ ʜɺʣʡ
ʅʥɪʆʜ ʜɺʣʡ ɾʓʨʒ
ʜɺʣʡ ɾʓʨʒ ʃʚʧʞʨ
ɾʓʨʒ ʃʚʧʞʨ ʡʖʚ
ʃʚʧʞʨ ʡʖʚ ʤɯʦɿ
ʡʖʚ ʤɯʦɿ ʒʍʜʆ
ʤɯʦɿ ʒʍʜʆ ʏʐʤʛɺ
ʒʍʜʆ ʏʐʤʛɺ ʛɽɯʆɴ
ʏʐʤʛɺ ʛɽɯʆɴ ɽʣʡʨ
ʛɽɯʆɴ ɽʣʡʨ ʂʃʦ
ɽʣʡʨ ʂʃʦ ɥʤʚʤ
ʂʃʦ ɥʤʚʤ ɨɵʍʧʔ
ɥʤʚʤ ɨɵʍʧʔ ʐʥʔʄ
ɨɵʍʧʔ ʐʥʔʄ ʙʣɻʑʠ
ʐʥʔʄ ʙʣɻʑʠ ʖʆʝʇʢ
ʙʣɻʑʠ ʖʆʝʇʢ ʚʑʛʥʇ
ʖʆʝʇʢ ʚʑʛʥʇ ɮʖʌ
ʚʑʛʥʇ ɮʖʌ ɶʡʕ
ɮʖʌ ɶʡʕ ʑʥʌʠ
ɶʡʕ ʑʥʌʠ ʞʓʘʝ
ʑʥʌʠ ʞʓʘʝ ʚʌʢ
ʞʓʘʝ ʚʌʢ ʡʗʕ
ʚʌʢ ʡʗʕ ʥʜʍʏɽ
ʡʗʕ ʥʜʍʏɽ ʀʉʟ
ʥʜʍʏɽ ʀʉʟ ʃʢʋʝʔ
ʀʉʟ ʃʢʋʝʔ ʟɷʃ
ʃʢʋʝʔ ʟɷʃ ʍʈʅ
ʟɷʃ ʍʈʅ ɽʆʐ
ʍʈʅ ɽʆʐ ʐʉʜʤ
ɽʆʐ ʐʉʜʤ ɤʒʉʨ
ʐʉʜʤ ɤʒʉʨ ʛʦɺ
ɤʒʉʨ ʛʦɺ ɫɾɪʢ
ʛʦɺ ɫɾɪʢ ʋɮʓ
ɫɾɪʢ ʋɮʓ ʖɶɼ
ʋɮʓ ʖɶɼ ʙʊʊʙ
ʖɶɼ ʙʊʊʙ ʙʈɶ
ʙʊʊʙ ʙʈɶ ʙʦʑ
ʙʈɶ ʙʦʑ ʝʎʦʠ
ʙʦʑ ʝʎʦʠ ʜʤʟʨ
ʝʎʦʠ ʜʤʟʨ ɽʜʤʜ
ʜʤʟʨ ɽʜʤʜ ʒʦʟʥʥ
ɽʜʤʜ ʒʦʟʥʥ ʥʜʝʡ
ʒʦʟʥʥ ʥʜʝʡ ʜʡʛʕʆ
ʥʜʝʡ ʜʡʛʕʆ ɾʉʑʗɲ
ʜʡʛʕʆ ɾʉʑʗɲ ɼʃʎʜ
ɾʉʑʗɲ ɼʃʎʜ ɽʄʖ
ɼʃʎʜ ɽʄʖ ɪʝʝʕ
ɽʄʖ ɪʝʝʕ ɷʟʢʧʑ
ɪʝʝʕ ɷʟʢʧʑ ʤɪʞʧ
ɷʟʢʧʑ ʤɪʞʧ ʨɸɤ
ʤɪʞʧ ʨɸɤ ʦʎʄ
ʨɸɤ ʦʎʄ ʈʄʨʠʨ
ʦʎʄ ʈʄʨʠʨ ʉʀʖʕ
ʈʄʨʠʨ ʉʀʖʕ ʌʎʟ
ʉʀʖʕ ʌʎʟ ɸʐʜʌʐ
ʌʎʟ ɸʐʜʌʐ ʔʣɬʤʠ
ɸʐʜʌʐ ʔʣɬʤʠ ɹɰʘʐ
ʔʣɬʤʠ ɹɰʘʐ ʦʟʃʗ
ɹɰʘʐ ʦʟʃʗ ʧʀɰʟʎ
ʦʟʃʗ ʧʀɰʟʎ ʋʠʂʞɼ
ʧʀɰʟʎ ʋʠʂʞɼ ʉɪʤ
ʋʠʂʞɼ ʉɪʤ ʉʣʞ
ʉɪʤ ʉʣʞ ʥʘʞʥʒ
ʉʣʞ ʥʘʞʥʒ ɲʞʡʇʕ
ʥʘʞʥʒ ɲʞʡʇʕ ʓʜʨɵʐ
ɲʞʡʇʕ ʓʜʨɵʐ ɠʒʜɳ
ʓʜʨɵʐ ɠʒʜɳ ʐʐʤʈ
ɠʒʜɳ ʐʐʤʈ ʙʄɨ
ʐʐʤʈ ʙʄɨ ɪʙʏʚ
ʙʄɨ ɪʙʏʚ ʈʚɶʜʁ
ɪʙʏʚ ʈʚɶʜʁ ʀʛɹʟ
ʈʚɶʜʁ ʀʛɹʟ ɵɽʦ
ʀʛɹʟ ɵɽʦ ʛʠʌ
ɵɽʦ ʛʠʌ ʓɺʞ
ʛʠʌ ʓɺʞ ʒʞɬɩʑ
ʓɺʞ ʒʞɬɩʑ ʒʛʇ
ʒʞɬɩʑ ʒʛʇ ʁʥʡɯʡ
ʒʛʇ ʁʥʡɯʡ ʘɶʙʝ
ʁʥʡɯʡ ʘɶʙʝ ʨʑʨ
ʘɶʙʝ ʨʑʨ ɮʑʦ
ʨʑʨ ɮʑʦ ʤʌɪʣʚ
ɮʑʦ ʤʌɪʣʚ ʛʡɾʚʃ
ʤʌɪʣʚ ʛʡɾʚʃ ʝʊɾʧ
ʛʡɾʚʃ ʝʊɾʧ ʓʙʁ
ʝʊɾʧ ʓʙʁ ʣʉʣʋ
ʓʙʁ ʣʉʣʋ ʧɤʤ
ʣʉʣʋ ʧɤʤ ʒɻɦʏ
ʧɤʤ ʒɻɦʏ ʞʧʐ
ʒɻɦʏ ʞʧʐ ʝʝʈ
ʞʧʐ ʝʝʈ ɹɩɮ
ʝʝʈ ɹɩɮ ʤʉɲ
ɹɩɮ ʤʉɲ ɲʍʤ
ʤʉɲ ɲʍʤ ʎʔʣɮ
ɲʍʤ ʎʔʣɮ ʣɭʜʧ
ʎʔʣɮ ʣɭʜʧ ʕʆɡ
ʣɭʜʧ ʕʆɡ ʙʃʝʞ
ʕʆɡ ʙʃʝʞ ʗʤʢʢʅ
ʙʃʝʞ ʗʤʢʢʅ ʅʈʣ
ʗʤʢʢʅ ʅʈʣ ʁʗʗʂʎ
ʅʈʣ ʁʗʗʂʎ ʌɹɴʓ
ʁʗʗʂʎ ʌɹɴʓ ʋʓʓɦ
ʌɹɴʓ ʋʓʓɦ ɹɧʠʙ
ʋʓʓɦ ɹɧʠʙ ʄɼʟʡ
ɹɧʠʙ ʄɼʟʡ ʒʘʡ
ʄɼʟʡ ʒʘʡ ʁʣʖ
ʒʘʡ ʁʣʖ ʖʜʧ
ʁʣʖ ʖʜʧ ʢʨɵʛʋ
ʖʜʧ ʢʨɵʛʋ ɞʞʉʂʁ
ʢʨɵʛʋ ɞʞʉʂʁ ʕʤʦʑɹ
ɞʞʉʂʁ ʕʤʦʑɹ ʘʔʕɯ
ʕʤʦʑɹ ʘʔʕɯ ʜʤɶʞʞ
ʘʔʕɯ ʜʤɶʞʞ ɹʜʀʎʣ
ʜʤɶʞʞ ɹʜʀʎʣ ʢʢʕʨ
ɹʜʀʎʣ ʢʢʕʨ ʨʀʔʞ
ʢʢʕʨ ʨʀʔʞ ʥʚɹʁʞ
ʨʀʔʞ ʥʚɹʁʞ ʝʥɤɼʘ
ʥʚɹʁʞ ʝʥɤɼʘ ʊʗɸɲʛ
ʝʥɤɼʘ ʊʗɸɲʛ ɱʌʆɾ
ʊʗɸɲʛ ɱʌʆɾ ʉɽɶʟʛ
ɱʌʆɾ ʉɽɶʟʛ ʐʏɶʁ
ʉɽɶʟʛ ʐʏɶʁ ʁʟɴ
ʐʏɶʁ ʁʟɴ ɫɾɻʀ
ʁʟɴ ɫɾɻʀ ʦʂɽ
ɫɾɻʀ ʦʂɽ ʍʙʔʊ
ʦʂɽ ʍʙʔʊ ʖʛʃʎʁ
ʍʙʔʊ ʖʛʃʎʁ ɱʛɲɶʉ
ʖʛʃʎʁ ɱʛɲɶʉ ɦɼʁʙ
ɱʛɲɶʉ ɦɼʁʙ ʔɼʉʖʠ
ɦɼʁʙ ʔɼʉʖʠ ɯʟɪʙ
ʔɼʉʖʠ ɯʟɪʙ ʃʠʍʥʥ
ɯʟɪʙ ʃʠʍʥʥ ɫʨʞʋ
ʃʠʍʥʥ ɫʨʞʋ ʙʜʘʒʦ
ɫʨʞʋ ʙʜʘʒʦ ɸɻɬʜʥ
ʙʜʘʒʦ ɸɻɬʜʥ ʎʏʞʙʉ
ɸɻɬʜʥ ʎʏʞʙʉ ʟʒʆʑɬ
ʎʏʞʙʉ ʟʒʆʑɬ ʨɼʚʦʔ
ʟʒʆʑɬ ʨɼʚʦʔ ʚʌɿʤʛ
ʨɼʚʦʔ ʚʌɿʤʛ ʖʑɶ
ʚʌɿʤʛ ʖʑɶ ʨʟɯ
ʖʑɶ ʨʟɯ ʨɭʅʛ
ʨʟɯ ʨɭʅʛ ʆʏʧʙ
ʨɭʅʛ ʆʏʧʙ ʣʡʨʥʔ
ʆʏʧʙ ʣʡʨʥʔ ʨʚʡʊ
ʣʡʨʥʔ ʨʚʡʊ ɡʏʨʒʊ
ʨʚʡʊ ɡʏʨʒʊ ɬɮʗɬʠ
ɡʏʨʒʊ ɬɮʗɬʠ ɦʘʃ
ɬɮʗɬʠ ɦʘʃ ʁʐʐ
